contractAddress,Logic Contracts,Interfaces,Lines,nLines,nSLOC,Comment Lines,Complex. Score,Contracts,Libraries,Abstract,Public Functions,Payable Functions,External Functions,Internal Functions,Private Functions,Pure Functions,View Functions,StateVariablesTotal,PublicStateVariables,Experimental Features,Can Receive Funds,Uses Assembly,Has Destroyable Contracts,Transfers ETH,Low-Level Calls,DelegateCall,Uses Hash Functions,ECRecover,New/Create/Create2,TryCatch,Unchecked
0x5ace17f87c7391e5792a7683069a8025b83bbd85,6,0,753,741,517,225,370,5,1,0,31,7,22,31,4,0,0,25,21,,Yes,No,No,Yes,No,No,Yes,No,No,No,No
0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7,1,0,21,21,11,6,11,1,0,0,2,1,0,1,0,0,0,1,1,,Yes,No,No,Yes,Yes,No,No,No,No,No,No
0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,2,0,97,83,66,0,43,2,0,0,7,3,0,4,0,0,0,6,3,,Yes,No,No,Yes,Yes,No,No,No,No,No,No
0x52d2e0f9b01101a59b38a3d05c80b7618aeed984,2,0,23,20,20,0,20,2,0,0,3,0,0,5,0,0,0,1,0,,No,No,No,Yes,Yes,No,No,No,No,No,No
0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9,1,0,7,7,6,0,2,1,0,0,0,0,0,1,0,0,0,0,0,,No,No,No,No,No,No,No,No,No,No,No
0xc320e373b369b58e716c1925780d36f703030f3d,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,No,No,No,No,No,No,No,No,No,No,No
0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77,2,0,35,35,29,0,41,2,0,0,6,4,0,2,0,0,0,3,2,,Yes,No,No,Yes,Yes,No,No,No,No,No,No
0x524960d55174d912768678d8c606b4d50b79d7b1,1,0,20,20,15,0,6,1,0,0,0,0,0,1,0,0,0,0,0,,No,No,No,No,No,No,Yes,No,No,No,No
0x39cfd754c85023648bf003bea2dd498c5612abfa,3,0,96,77,64,1,49,3,0,0,6,3,0,5,0,0,0,5,2,,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No
0x07f7ecb66d788ab01dc93b9b71a88401de7d0f2e,2,0,294,240,143,59,98,2,0,0,15,3,0,13,0,0,5,9,0,,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No
0x89c1b3807d4c67df034fffb62f3509561218d30b,1,0,212,210,156,39,77,1,0,0,8,1,0,9,0,0,0,14,14,,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No
