contractAddress,Logic Contracts,Interfaces,Lines,nLines,nSLOC,Comment Lines,Complex. Score,Contracts,Libraries,Abstract,Public Functions,Payable Functions,External Functions,Internal Functions,Private Functions,Pure Functions,View Functions,StateVariablesTotal,PublicStateVariables,Experimental Features,Can Receive Funds,Uses Assembly,Has Destroyable Contracts,Transfers ETH,Low-Level Calls,DelegateCall,Uses Hash Functions,ECRecover,New/Create/Create2,TryCatch,Unchecked
0x95c2906debbb9203ff7007f26c2f00a936c77b5d,2,0,238,238,158,17,84,2,0,0,3,2,0,13,0,0,0,13,9,,Yes,No,No,Yes,No,No,No,No,No,No,No
0x5d67888188772df8ed420e5be43820c9d98a8ef5,3,0,80,80,54,11,49,3,0,0,0,2,0,5,0,0,0,8,5,,Yes,No,No,Yes,No,No,No,No,Yes,No,No
0x139759b6cfada56ccf5b3536f21eac209140a9d4,1,0,19,19,16,0,4,1,0,0,0,0,0,2,0,0,0,2,2,,No,No,No,No,No,No,No,No,No,No,No
0x319af0f8552e2caceb6a8b2541ef00239a6ae1cc,1,0,41,41,24,9,13,1,0,0,2,0,0,2,0,0,0,0,0,,No,Yes,No,No,No,No,No,No,No,No,No
0xac44b0c61c20c5063e22d3a0ff67f13afdfed103,3,0,153,119,67,39,24,3,0,0,0,0,0,8,0,0,0,8,5,,No,No,No,Yes,No,No,No,No,No,No,No
0x4c2c4511ba8f5b5f356adf7eaebce8dd2ea9a9c6,1,0,17,17,13,0,4,1,0,0,0,0,0,1,0,0,0,2,1,,No,No,No,No,No,No,No,No,No,No,No
0xd35e6f3b26f8992a7f023ad878e13a82dded2232,1,0,20,20,16,0,9,1,0,0,0,1,0,1,0,0,0,1,0,,Yes,No,No,Yes,No,No,Yes,No,No,No,No
0x6e01ee36b522a824609b7f7dfb5e4aa8fbb48934,3,0,164,164,94,60,35,3,0,0,0,2,0,5,0,0,0,7,5,,Yes,No,No,Yes,No,No,No,No,No,No,No
0x37c0f21f9dc15be832d06a3c79ee45d16f9ed1d6,4,0,92,80,45,31,24,4,0,0,0,0,0,7,0,0,0,2,1,,No,No,Yes,No,No,No,No,No,No,No,No
0x3d42f7eb6b97ab66d8d44c725651befe02a70e5e,1,0,20,20,15,0,5,1,0,0,0,0,0,1,0,0,0,1,0,,No,No,No,No,No,No,No,No,No,No,No
0x709c7134053510fce03b464982eab6e3d89728a5,1,0,216,216,180,0,59,1,0,0,0,3,0,9,1,0,0,11,6,,Yes,No,No,Yes,No,No,No,No,No,No,No
0xca16790e9bb125392960e78befff1d4df4cb5b58,1,0,47,47,21,19,14,1,0,0,0,1,0,1,0,0,0,4,0,,Yes,No,No,Yes,No,No,No,No,No,No,No
0x50ae8d7c70c33d1f40b36c75fe9f560646134dd5,3,0,228,209,127,67,64,3,0,0,0,2,0,16,2,0,0,19,19,,Yes,No,No,Yes,No,No,No,No,No,No,No
0x8f4e3d448a318c1dec52b3f22d77132a39c62025,2,0,33,30,27,0,27,2,0,0,0,2,0,1,0,0,0,0,0,,Yes,No,Yes,Yes,No,No,No,No,No,No,No
0x125c0260feec92471d1a144f3cdce185a565f374,4,0,177,162,124,54,60,4,0,0,0,1,0,16,0,0,0,12,12,,Yes,No,No,Yes,No,No,No,No,No,No,No
0x559b52b6a30ba913a7e8f85c4a6aa443a0fe66ab,7,0,209,176,119,34,89,7,0,0,0,3,0,13,0,0,0,9,8,,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No
0xaced90c414006b622a4b1ce74fa34b1f650ab319,4,0,362,260,143,130,84,3,1,0,12,0,0,29,0,0,0,4,0,,No,No,No,Yes,No,No,No,No,No,No,No
0xe01b770235bc5db653604e5519f048df54490b5f,4,0,139,109,70,34,26,4,0,0,0,0,0,8,0,0,0,7,4,,No,No,No,Yes,No,No,No,No,No,No,No
0x472d4827266f0e83d12feb52f785c7e22ab5f0b6,1,0,52,51,44,0,15,1,0,0,0,1,0,3,0,0,0,2,1,,Yes,No,Yes,Yes,No,No,No,No,No,No,No
0xf5b86b8a7d3ad269edff19e2f2d0c59b42aefb13,2,0,26,26,15,6,10,2,0,0,1,0,0,3,0,0,0,2,0,,No,No,Yes,No,No,No,No,No,No,No,No
0x5ed5b9a13af4581524ebb7a0701bc4366d002289,1,0,228,216,118,60,69,1,0,0,4,1,4,6,3,0,0,16,11,,Yes,No,No,Yes,No,No,No,No,No,No,No
0x401e28717a6a35a50938bc7f290f2678fc0a2816,2,0,183,172,121,19,75,2,0,0,0,1,0,7,0,0,0,15,5,,Yes,No,No,No,No,No,Yes,No,No,No,No
0x72a68fb6d91ed8dc47b564e088e518c6d4a6ff44,1,0,301,279,173,76,86,1,0,0,4,2,4,8,0,0,0,20,17,,Yes,No,No,Yes,No,No,No,No,No,No,No
0xb9068705fbdc3b06c11763d2c260be682e6844ff,1,0,227,215,118,60,69,1,0,0,4,1,4,6,3,0,0,16,11,,Yes,No,No,Yes,No,No,No,No,No,No,No
0x4c24fd04063e8b1c881e5ec0f46208d66d010c64,1,0,56,56,51,6,25,1,0,0,0,1,0,6,0,0,0,7,7,,Yes,No,No,Yes,No,No,No,No,No,No,No
0x740e6b6f0a0165e8bb3d1cdf94862bdffbded22e,3,0,270,251,149,90,71,3,0,0,0,2,0,19,0,0,0,20,20,,Yes,No,No,Yes,No,No,No,No,No,No,No
0x952c9a569725d4cb710c69184e5eb8f56d6b8bd6,1,0,14,14,11,0,1,1,0,0,0,0,0,1,0,0,0,0,0,,No,No,No,No,No,No,No,No,No,No,No
0x9220d625bd6bea95c865b3c4faf273bfbd6bc48a,3,0,254,235,135,88,66,3,0,0,0,2,0,18,0,0,0,19,19,,Yes,No,No,Yes,No,No,No,No,No,No,No
0xbdf12a64b482d292f6a45eb8db1809abcd1bb8d1,1,0,66,66,53,1,17,1,0,0,0,0,0,3,0,0,0,7,5,,No,No,No,No,No,No,No,No,No,No,No
0xbfb0cfd13dbb56c2dbf69eae33255f0ef1fc7955,1,0,106,106,91,11,42,1,0,0,0,1,0,9,0,0,0,13,12,,Yes,No,No,Yes,No,No,No,No,No,No,No
0x28dcd428e8125990f9e5fe1b82db0e3ed240711c,1,0,178,152,120,0,55,1,0,0,0,0,0,1,0,0,0,5,0,,No,No,No,No,No,No,No,No,No,No,No
0xd6ec04c0f9587cb822c315f662954af8c2174d66,1,0,35,35,28,0,13,1,0,0,0,1,0,2,0,0,0,2,0,,Yes,No,No,Yes,No,No,No,No,No,No,No
0x6c5c0e2496d27f60c486faaaaa9bde58ea1dc386,1,0,24,24,18,0,4,1,0,0,0,0,0,2,0,0,0,2,0,,No,No,No,No,No,No,No,No,No,No,No
0x385e817b0083724672cb998a7afcf6da05bc0c7f,1,0,49,48,40,0,13,1,0,0,0,1,0,3,0,0,0,2,1,,Yes,No,Yes,Yes,No,No,No,No,No,No,No
