contractAddress,Logic Contracts,Interfaces,Lines,nLines,nSLOC,Comment Lines,Complex. Score,Contracts,Libraries,Interfaces,Abstract,Public Functions,Payable Functions,External Functions,Internal Functions,Private Functions,Pure Functions,View Functions,StateVariablesTotal,PublicStateVariables,Experimental Features,Can Receive Funds,Uses Assembly,Has Destroyable Contracts,Transfers ETH,Low-Level Calls,DelegateCall,Uses Hash Functions,ECRecover,New/Create/Create2,TryCatch,Unchecked
0x4a184673b7247ea15227d8f738a0627e0b17d72a,2,****,613,575,520,55,363,1,1,0,0,25,4,0,24,7,5,13,21,8,,`yes`,****,****,`yes`,****,****,****,****,****,****,****
0x244c8c078368a47ab3343927edb6f78fbdc93524,2,****,163,154,125,12,79,2,0,0,0,18,1,0,11,0,0,0,15,8,,`yes`,****,`yes`,`yes`,****,****,****,****,****,****,****
0x77070dd59c298d766585de4b5ec2b4549ab28ecc,1,1,60,57,44,****,43,1,0,1,0,9,1,1,8,0,0,0,4,3,,`yes`,****,`yes`,`yes`,****,****,****,****,****,****,****
0x1c36318a0b2a36636a32f9a712f5a709b4016f77,2,****,61,61,45,****,13,2,0,0,0,0,0,0,11,0,0,0,3,2,,****,****,`yes`,****,****,****,****,****,****,****,****
0x1c2389c0b8014be72e11849ec0aa790b03929e18,1,****,50,46,33,5,34,1,0,0,0,6,2,0,4,0,0,0,2,0,,`yes`,****,`yes`,`yes`,****,****,`yes`,****,****,****,****
0xd403cc1e2da3aa7d954e0ad34bef2df2b9a9f238,2,1,136,126,103,1,66,1,1,1,0,9,0,0,9,0,1,2,7,0,,****,****,`yes`,`yes`,`yes`,****,`yes`,****,****,****,****
0x1ca43a170bad619322e6f54d46b57e504db663aa,16,****,612,505,324,114,325,16,0,0,0,44,2,0,59,0,12,8,12,7,,`yes`,`yes` <br/>(2 asm blocks),****,`yes`,`yes`,****,`yes`,****,****,****,****
0x288a59c489f20b0f0c2b71fb4e96d35469b27cb1,5,****,563,526,327,153,181,2,3,0,0,10,1,2,18,2,11,4,15,0,,`yes`,`yes` <br/>(1 asm blocks),****,`yes`,****,****,`yes`,****,****,****,****
0xe63760e74ffd44ce7abdb7ca2e7fa01b357df460,2,****,116,115,91,4,69,2,0,0,0,13,3,0,9,0,0,0,5,4,,`yes`,****,`yes`,`yes`,`yes`,****,****,****,****,****,****
0x3675357f253ee776012f7bf398151d1d683336fb,2,****,150,150,89,40,49,1,1,0,0,9,0,0,10,0,4,3,7,4,,****,****,`yes`,****,****,****,****,****,****,****,****
0x14d4661c507ed8a3c7641e08f3b3c6c69792ba14,1,****,14,14,11,****,14,1,0,0,0,2,2,0,0,0,0,0,1,0,,`yes`,****,****,`yes`,****,****,****,****,****,****,****
0xd73f1bcb7143776cadc3faf6cdd089267aca184c,1,1,93,90,70,3,51,1,0,1,0,9,1,1,8,0,0,0,5,3,,`yes`,****,`yes`,`yes`,****,****,****,****,****,****,****
0x05cd27a978fc9f9919a5f4c5c03e5947ed7d4c4d,1,****,14,14,11,****,14,1,0,0,0,2,2,0,0,0,0,0,1,0,,`yes`,****,`yes`,****,****,****,****,****,****,****,****
0x4473d7e836e473aba72af381536a979e5063f7f8,2,****,144,140,67,62,47,2,0,0,0,0,1,0,7,0,0,0,13,12,,`yes`,****,****,`yes`,`yes`,****,`yes`,****,****,****,****
0x7bf673fd8ff38eb8bf3c3e3a864d4bca40778c25,3,1,273,260,132,125,111,3,0,1,0,20,4,0,20,0,0,0,10,10,,`yes`,****,`yes`,`yes`,****,****,****,****,****,****,****
0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4,2,****,67,60,47,****,28,2,0,0,0,3,2,0,3,0,0,0,5,3,,`yes`,****,****,`yes`,`yes`,****,****,****,****,****,****
0xbd3696b01a487b012ba99628b06a1a7859f5ca23,5,****,319,315,227,56,190,4,1,0,0,22,3,0,23,0,4,3,21,18,,`yes`,****,****,`yes`,****,****,****,****,****,****,****
0x096ddaec18064b702f7e53a42afea68ee4a27f54,2,****,494,408,260,112,257,2,0,0,0,19,1,0,17,1,0,0,10,10,,`yes`,`yes` <br/>(1 asm blocks),****,`yes`,`yes`,****,****,****,****,****,****
