contractAddress,Logic Contracts,Interfaces,Lines,nLines,nSLOC,Comment Lines,Complex. Score,Contracts,Libraries,Interfaces,Abstract,Public Functions,Payable Functions,External Functions,Internal Functions,Private Functions,Pure Functions,View Functions,StateVariablesTotal,PublicStateVariables,Experimental Features,Can Receive Funds,Uses Assembly,Has Destroyable Contracts,Transfers ETH,Low-Level Calls,DelegateCall,Uses Hash Functions,ECRecover,New/Create/Create2,TryCatch,Unchecked
0x5ace17f87c7391e5792a7683069a8025b83bbd85,6,****,753,741,517,225,370,5,1,0,0,31,7,22,31,4,0,0,25,21,,`yes`,****,****,`yes`,****,****,`yes`,****,****,****,****
0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7,1,****,21,21,11,6,11,1,0,0,0,2,1,0,1,0,0,0,1,1,,`yes`,****,****,`yes`,`yes`,****,****,****,****,****,****
0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,2,****,97,83,66,****,43,2,0,0,0,7,3,0,4,0,0,0,6,3,,`yes`,****,****,`yes`,`yes`,****,****,****,****,****,****
0x52d2e0f9b01101a59b38a3d05c80b7618aeed984,2,****,23,20,20,****,20,2,0,0,0,3,0,0,5,0,0,0,1,0,,****,****,****,`yes`,`yes`,****,****,****,****,****,****
0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9,1,****,7,7,6,****,2,1,0,0,0,0,0,0,1,0,0,0,0,0,,****,****,****,****,****,****,****,****,****,****,****
0xc320e373b369b58e716c1925780d36f703030f3d,****,****,1,1,****,****,****,0,0,0,0,0,0,0,0,0,0,0,0,0,,****,****,****,****,****,****,****,****,****,****,****
0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77,2,****,35,35,29,****,41,2,0,0,0,6,4,0,2,0,0,0,3,2,,`yes`,****,****,`yes`,`yes`,****,****,****,****,****,****
0x524960d55174d912768678d8c606b4d50b79d7b1,1,****,20,20,15,****,6,1,0,0,0,0,0,0,1,0,0,0,0,0,,****,****,****,****,****,****,`yes`,****,****,****,****
0x39cfd754c85023648bf003bea2dd498c5612abfa,3,****,96,77,64,1,49,3,0,0,0,6,3,0,5,0,0,0,5,2,,`yes`,****,****,`yes`,`yes`,****,`yes`,****,****,****,****
0x07f7ecb66d788ab01dc93b9b71a88401de7d0f2e,2,****,294,240,143,59,98,2,0,0,0,15,3,0,13,0,0,5,9,0,,`yes`,****,****,`yes`,`yes`,****,`yes`,****,****,****,****
0x89c1b3807d4c67df034fffb62f3509561218d30b,1,****,212,210,156,39,77,1,0,0,0,8,1,0,9,0,0,0,14,14,,`yes`,****,****,`yes`,`yes`,****,`yes`,****,****,****,****
0x84d9ec85c9c568eb332b7226a8f826d897e0a4a8,2,****,87,87,46,24,23,2,0,0,0,1,0,0,5,0,0,0,8,8,,****,****,****,`yes`,`yes`,****,****,****,****,****,****
0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888,2,****,97,83,66,****,43,2,0,0,0,7,3,0,4,0,0,0,6,3,,`yes`,****,****,`yes`,`yes`,****,****,****,****,****,****
0xec329ffc97d75fe03428ae155fc7793431487f63,3,****,125,121,71,25,40,3,0,0,0,0,0,0,8,0,0,0,6,5,,****,`yes` <br/>(1 asm blocks),****,`yes`,`yes`,****,****,****,****,****,****
0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,2,****,70,61,47,****,33,2,0,0,0,4,3,0,2,0,0,0,5,3,,`yes`,****,****,`yes`,`yes`,****,****,****,****,****,****
0xb801f35f99b437bcef8789db26d1695c26c7b14b,****,****,1,1,****,****,****,0,0,0,0,0,0,0,0,0,0,0,0,0,,****,****,****,****,****,****,****,****,****,****,****
0x8c7777c45481dba411450c228cb692ac3d550344,2,****,71,61,47,****,35,2,0,0,0,5,3,0,2,0,0,0,5,3,,`yes`,****,****,`yes`,`yes`,****,****,****,****,****,****
0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf,1,****,39,30,24,****,31,1,0,0,0,4,4,0,0,0,0,0,1,1,,`yes`,****,****,`yes`,`yes`,****,****,****,****,****,****
0xdb1c55f6926e7d847ddf8678905ad871a68199d2,1,****,34,25,20,****,31,1,0,0,0,4,4,0,0,0,0,0,1,1,,`yes`,****,****,`yes`,`yes`,****,****,****,****,****,****
0xb37f18af15bafb869a065b61fc83cfc44ed9cc27,1,****,28,28,21,****,23,1,0,0,0,4,1,0,3,0,0,0,2,2,,`yes`,****,****,`yes`,`yes`,****,****,****,****,****,****
0xe894d54dca59cb53fe9cbc5155093605c7068220,1,****,14,14,12,****,12,1,0,0,0,1,0,0,1,0,0,0,0,0,,****,****,****,****,****,****,`yes`,****,****,****,****
0x7541b76cb60f4c60af330c208b0623b7f54bf615,2,****,78,70,57,****,36,2,0,0,0,5,3,0,2,0,0,0,5,3,,`yes`,****,****,`yes`,`yes`,****,****,****,****,****,****
0x610495793564aed0f9c7fc48dc4c7c9151d34fd6,1,****,28,28,21,****,23,1,0,0,0,4,1,0,3,0,0,0,2,2,,`yes`,****,****,`yes`,`yes`,****,****,****,****,****,****
0x663e4229142a27f00bafb5d087e1e730648314c3,18,****,2461,2178,1038,811,957,18,0,0,0,86,9,66,98,4,2,38,51,40,,`yes`,`yes` <br/>(3 asm blocks),****,`yes`,****,****,`yes`,****,****,****,****
0x70f9eddb3931491aab1aeafbc1e7f1ca2a012db4,1,****,24,24,19,****,31,1,0,0,0,4,4,0,0,0,0,0,1,1,,`yes`,****,****,`yes`,`yes`,****,****,****,****,****,****
0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,2,****,89,75,59,****,46,2,0,0,0,7,3,0,4,0,0,0,6,3,,`yes`,****,****,`yes`,`yes`,****,****,****,****,****,****
0xa46edd6a9a93feec36576ee5048146870ea2c3ae,1,****,13,13,11,****,12,1,0,0,0,1,0,0,1,0,0,0,0,0,,****,****,****,****,****,****,`yes`,****,****,****,****
0x19cf8481ea15427a98ba3cdd6d9e14690011ab10,5,1,498,474,318,84,164,5,0,1,0,18,2,10,45,0,0,0,33,25,,`yes`,****,****,`yes`,****,****,****,****,****,****,****
