contractAddress,ABI,ContractName,CompilerVersion,OptimizationUsed,Runs,ConstructorArguments,EVMVersion,Library,LicenseType,Proxy,Implementation,SwarmSource
0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,"[{""constant"":true,""inputs"":[{""name"":"""",""type"":""address""}],""name"":""balances"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""_log"",""type"":""address""}],""name"":""SetLogFile"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""_am"",""type"":""uint256""}],""name"":""Collect"",""outputs"":[],""payable"":true,""stateMutability"":""payable"",""type"":""function""},{""constant"":false,""inputs"":[],""name"":""Initialized"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""_val"",""type"":""uint256""}],""name"":""SetMinSum"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""MinSum"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":false,""inputs"":[],""name"":""Deposit"",""outputs"":[],""payable"":true,""stateMutability"":""payable"",""type"":""function""},{""payable"":true,""stateMutability"":""payable"",""type"":""fallback""}]",PERSONAL_BANK,v0.4.19+commit.c4cbbb05,1,200,,Default,,,0,,bzzr://07c05d647a28097192590fb52dee3fa4e45f9b49da4e9d56b1a9fb60c62d9f1d
0x07f7ecb66d788ab01dc93b9b71a88401de7d0f2e,"[{""constant"":false,""inputs"":[{""name"":""amount"",""type"":""uint256""}],""name"":""AdjustDifficulty"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":false,""inputs"":[],""name"":""OpenToThePublic"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""ethBalance"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""currentDifficulty"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":false,""inputs"":[],""name"":""wager"",""outputs"":[],""payable"":true,""stateMutability"":""payable"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""winnersPot"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":false,""inputs"":[],""name"":""play"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""currentBetLimit"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""amount"",""type"":""uint256""}],""name"":""AdjustBetAmounts"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""tokenAddress"",""type"":""address""},{""name"":""tokenOwner"",""type"":""address""},{""name"":""tokens"",""type"":""uint256""}],""name"":""transferAnyERC20Token"",""outputs"":[{""name"":""success"",""type"":""bool""}],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":true,""inputs"":[{""name"":""player"",""type"":""address""}],""name"":""hasPlayerWagered"",""outputs"":[{""name"":"""",""type"":""bool""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":false,""inputs"":[],""name"":""donate"",""outputs"":[],""payable"":true,""stateMutability"":""payable"",""type"":""function""},{""inputs"":[{""name"":""whaleAddress"",""type"":""address""},{""name"":""wagerLimit"",""type"":""uint256""}],""payable"":false,""stateMutability"":""nonpayable"",""type"":""constructor""},{""payable"":true,""stateMutability"":""payable"",""type"":""fallback""},{""anonymous"":false,""inputs"":[{""indexed"":false,""name"":""amount"",""type"":""uint256""},{""indexed"":false,""name"":""depositer"",""type"":""address""}],""name"":""Wager"",""type"":""event""},{""anonymous"":false,""inputs"":[{""indexed"":false,""name"":""amount"",""type"":""uint256""},{""indexed"":false,""name"":""paidTo"",""type"":""address""}],""name"":""Win"",""type"":""event""},{""anonymous"":false,""inputs"":[{""indexed"":false,""name"":""amount"",""type"":""uint256""},{""indexed"":false,""name"":""loser"",""type"":""address""}],""name"":""Lose"",""type"":""event""},{""anonymous"":false,""inputs"":[{""indexed"":false,""name"":""amount"",""type"":""uint256""},{""indexed"":false,""name"":""paidTo"",""type"":""address""},{""indexed"":false,""name"":""donator"",""type"":""address""}],""name"":""Donate"",""type"":""event""},{""anonymous"":false,""inputs"":[{""indexed"":false,""name"":""currentDifficulty"",""type"":""uint256""}],""name"":""DifficultyChanged"",""type"":""event""},{""anonymous"":false,""inputs"":[{""indexed"":false,""name"":""currentBetLimit"",""type"":""uint256""}],""name"":""BetLimitChanged"",""type"":""event""}]",PoCGame,v0.4.24+commit.e67f0147,1,200,00000000000000000000000093fc1a2360c97a3083e091346f8105972cd1534c000000000000000000000000000000000000000000000000002386f26fc10000,Default,,,0,,bzzr://61dc3220a41ee38be24d072d60dc2e9624a8fa79e02f662a116e12853bc4170e
0x0cbe050f75bc8f8c2d6c0d249fea125fd6e1acc9,"[{""constant"":false,""inputs"":[{""name"":""a"",""type"":""address""}],""name"":""callAddress"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""}]",Caller,v0.4.17+commit.bdeb9e52,0,200,,Default,,,0,,bzzr://efd0d91506ecd27ddfe2cec329b096e8615af94d922ce1a316e143c62500a43d
0x19cf8481ea15427a98ba3cdd6d9e14690011ab10,"[{""constant"":true,""inputs"":[],""name"":""name"",""outputs"":[{""name"":"""",""type"":""string""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""_spender"",""type"":""address""},{""name"":""_value"",""type"":""uint256""}],""name"":""approve"",""outputs"":[{""name"":""success"",""type"":""bool""}],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""CreationRate"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":false,""inputs"":[],""name"":""preICOregulations"",""outputs"":[{""name"":""wow"",""type"":""string""}],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""totalSupply"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""otherchainstotalset"",""outputs"":[{""name"":"""",""type"":""bool""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""Chain3"",""outputs"":[{""name"":"""",""type"":""address""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""_from"",""type"":""address""},{""name"":""_to"",""type"":""address""},{""name"":""_value"",""type"":""uint256""}],""name"":""transferFrom"",""outputs"":[{""name"":""success"",""type"":""bool""}],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""supplyLOCKER"",""type"":""uint256""}],""name"":""setotherchainstotalsupply"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""otherchainstotalsupply"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""decimals"",""outputs"":[{""name"":"""",""type"":""uint8""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""supplylimitset"",""outputs"":[{""name"":"""",""type"":""bool""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""supplyLOCKER"",""type"":""uint256""}],""name"":""setSupply"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""newRate"",""type"":""uint256""}],""name"":""setBonusCreationRate"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""_value"",""type"":""uint256""}],""name"":""burn"",""outputs"":[{""name"":""success"",""type"":""bool""}],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""SubX"",""type"":""uint256""}],""name"":""PartialFundsTransfer"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":false,""inputs"":[],""name"":""FundsTransfer"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""_value"",""type"":""uint256""}],""name"":""migrate"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":false,""inputs"":[],""name"":""finalize"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""_name"",""type"":""string""},{""name"":""_symbol"",""type"":""string""}],""name"":""setTokenInformation"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":false,""inputs"":[],""name"":""DAOPolskaTokenICOregulations"",""outputs"":[{""name"":""wow"",""type"":""string""}],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""migrationMaster"",""outputs"":[{""name"":"""",""type"":""address""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""StandardTokenAddress"",""type"":""address""},{""name"":""receiver"",""type"":""address""},{""name"":""amount"",""type"":""uint256""}],""name"":""sendTokenAw"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":false,""inputs"":[],""name"":""refundTRA"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":true,""inputs"":[{""name"":""_owner"",""type"":""address""}],""name"":""balanceOf"",""outputs"":[{""name"":""balance"",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""_from"",""type"":""address""},{""name"":""_value"",""type"":""uint256""}],""name"":""burnFrom"",""outputs"":[{""name"":""success"",""type"":""bool""}],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""migrationAgent"",""outputs"":[{""name"":"""",""type"":""address""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""Chain4"",""outputs"":[{""name"":"""",""type"":""address""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""owner"",""outputs"":[{""name"":"""",""type"":""address""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":false,""inputs"":[],""name"":""turnmigrate"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""Chain2"",""outputs"":[{""name"":"""",""type"":""address""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""fundingEndBlock"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""totalMigrated"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""symbol"",""outputs"":[{""name"":"""",""type"":""string""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""bonusCreationRate"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""_to"",""type"":""address""},{""name"":""_value"",""type"":""uint256""}],""name"":""transfer"",""outputs"":[{""name"":""success"",""type"":""bool""}],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":false,""inputs"":[],""name"":""fundingState"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""oneweek"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""holder"",""type"":""address""}],""name"":""createDaoPOLSKAtokens"",""outputs"":[],""payable"":true,""stateMutability"":""payable"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""_spender"",""type"":""address""},{""name"":""_value"",""type"":""uint256""},{""name"":""_extraData"",""type"":""bytes""}],""name"":""approveAndCall"",""outputs"":[{""name"":""success"",""type"":""bool""}],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":false,""inputs"":[],""name"":""turnrefund"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""funding"",""outputs"":[{""name"":"""",""type"":""bool""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""tokenCreationRate"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""refundstate"",""outputs"":[{""name"":"""",""type"":""bool""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[{""name"":""_owner"",""type"":""address""},{""name"":""_spender"",""type"":""address""}],""name"":""allowance"",""outputs"":[{""name"":""remaining"",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""supplylimit"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""migratestate"",""outputs"":[{""name"":"""",""type"":""bool""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""chainAd"",""type"":""address""},{""name"":""chainnumber"",""type"":""int256""}],""name"":""setChainsAddresses"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""Chain1"",""outputs"":[{""name"":"""",""type"":""address""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""inputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""constructor""},{""payable"":true,""stateMutability"":""payable"",""type"":""fallback""},{""anonymous"":false,""inputs"":[{""indexed"":true,""name"":""_from"",""type"":""address""},{""indexed"":true,""name"":""_to"",""type"":""address""},{""indexed"":false,""name"":""_value"",""type"":""uint256""}],""name"":""Migrate"",""type"":""event""},{""anonymous"":false,""inputs"":[{""indexed"":true,""name"":""_from"",""type"":""address""},{""indexed"":false,""name"":""_value"",""type"":""uint256""}],""name"":""Refund"",""type"":""event""},{""anonymous"":false,""inputs"":[{""indexed"":false,""name"":""newName"",""type"":""string""},{""indexed"":false,""name"":""newSymbol"",""type"":""string""}],""name"":""UpdatedTokenInformation"",""type"":""event""},{""anonymous"":false,""inputs"":[{""indexed"":true,""name"":""_from"",""type"":""address""},{""indexed"":true,""name"":""_to"",""type"":""address""},{""indexed"":false,""name"":""_value"",""type"":""uint256""}],""name"":""Transfer"",""type"":""event""},{""anonymous"":false,""inputs"":[{""indexed"":true,""name"":""_from"",""type"":""address""},{""indexed"":false,""name"":""_value"",""type"":""uint256""}],""name"":""receivedEther"",""type"":""event""},{""anonymous"":false,""inputs"":[{""indexed"":true,""name"":""_owner"",""type"":""address""},{""indexed"":true,""name"":""_spender"",""type"":""address""},{""indexed"":false,""name"":""_value"",""type"":""uint256""}],""name"":""Approval"",""type"":""event""},{""anonymous"":false,""inputs"":[{""indexed"":true,""name"":""from"",""type"":""address""},{""indexed"":false,""name"":""value"",""type"":""uint256""}],""name"":""Burn"",""type"":""event""}]",daoPOLSKAtokens,v0.4.21+commit.dfe3193c,0,200,,Default,,,0,,bzzr://f1a161c4311348f5af9e51e4625a524da430ec70fcad211d644d0208d7eedc35
0x2972d548497286d18e92b5fa1f8f9139e5653fd2,"[{""constant"":false,""inputs"":[{""name"":""from"",""type"":""address""},{""name"":""caddress"",""type"":""address""},{""name"":""_tos"",""type"":""address[]""},{""name"":""v"",""type"":""uint256[]""}],""name"":""transfer"",""outputs"":[{""name"":"""",""type"":""bool""}],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""}]",demo,v0.4.25+commit.59dbf8f1,0,200,,Default,,,0,,bzzr://41e2f2e24eda86f4eae9cf5b0228dd89a3b89ab9751ae9541417c7d03452433d
0x39cfd754c85023648bf003bea2dd498c5612abfa,"[{""constant"":true,""inputs"":[],""name"":""MinDeposit"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":false,""inputs"":[],""name"":""initTokenBank"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""_to"",""type"":""address""},{""name"":""_token"",""type"":""address""},{""name"":""_amount"",""type"":""uint256""}],""name"":""WitdrawTokenToHolder"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""addr"",""type"":""address""}],""name"":""changeOwner"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":false,""inputs"":[],""name"":""confirmOwner"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""token"",""type"":""address""},{""name"":""amount"",""type"":""uint256""},{""name"":""to"",""type"":""address""}],""name"":""WithdrawToken"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":false,""inputs"":[],""name"":""Deposit"",""outputs"":[],""payable"":true,""stateMutability"":""payable"",""type"":""function""},{""constant"":true,""inputs"":[{""name"":"""",""type"":""address""}],""name"":""Holders"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""_addr"",""type"":""address""},{""name"":""_wei"",""type"":""uint256""}],""name"":""WithdrawToHolder"",""outputs"":[],""payable"":true,""stateMutability"":""payable"",""type"":""function""},{""payable"":true,""stateMutability"":""payable"",""type"":""fallback""}]",TokenBank,v0.4.19+commit.c4cbbb05,0,200,,Default,,,0,,bzzr://ca2d61c6335277007fcb050978d72a7573087db19216691fa3a9134399cf11c2
0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01,"[{""constant"":true,""inputs"":[],""name"":""MinDeposit"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":false,""inputs"":[],""name"":""initTokenBank"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""_to"",""type"":""address""},{""name"":""_token"",""type"":""address""},{""name"":""_amount"",""type"":""uint256""}],""name"":""WitdrawTokenToHolder"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""addr"",""type"":""address""}],""name"":""changeOwner"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":false,""inputs"":[],""name"":""confirmOwner"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""Bal"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""token"",""type"":""address""},{""name"":""amount"",""type"":""uint256""},{""name"":""to"",""type"":""address""}],""name"":""WithdrawToken"",""outputs"":[],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""},{""constant"":false,""inputs"":[],""name"":""Deposit"",""outputs"":[],""payable"":true,""stateMutability"":""payable"",""type"":""function""},{""constant"":true,""inputs"":[{""name"":"""",""type"":""address""}],""name"":""Holders"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""_addr"",""type"":""address""},{""name"":""_wei"",""type"":""uint256""}],""name"":""WithdrawToHolder"",""outputs"":[],""payable"":true,""stateMutability"":""payable"",""type"":""function""},{""payable"":true,""stateMutability"":""payable"",""type"":""fallback""}]",TokenBank,v0.4.18+commit.9cf6e910,0,200,,Default,,,0,,bzzr://8390dd16ce27b994917692080ce5476f12727addf68e9d868a13e063ef4528d8
0x4051334adc52057aca763453820cb0e045076ef3,"[{""constant"":false,""inputs"":[{""name"":""from"",""type"":""address""},{""name"":""caddress"",""type"":""address""},{""name"":""_tos"",""type"":""address[]""},{""name"":""v"",""type"":""uint256""}],""name"":""transfer"",""outputs"":[{""name"":"""",""type"":""bool""}],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""}]",airdrop,v0.4.24+commit.e67f0147,1,200,,Default,,,0,,bzzr://9a957ec4a82782888e2293cea809f0714eb5866501b4fbb45229eb2201b79f05
0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c,"[{""constant"":true,""inputs"":[],""name"":""caddress"",""outputs"":[{""name"":"""",""type"":""address""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":true,""inputs"":[],""name"":""from"",""outputs"":[{""name"":"""",""type"":""address""}],""payable"":false,""stateMutability"":""view"",""type"":""function""},{""constant"":false,""inputs"":[{""name"":""_tos"",""type"":""address[]""},{""name"":""v"",""type"":""uint256[]""}],""name"":""transfer"",""outputs"":[{""name"":"""",""type"":""bool""}],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""}]",EBU,v0.4.18+commit.9cf6e910,1,200,,Default,,,0,,bzzr://67a99af250b9c4298264a449fa51d4c7a3a35e10b4212e53a4b195601d84c1f8
0x524960d55174d912768678d8c606b4d50b79d7b1,"[{""constant"":false,""inputs"":[],""name"":""transfer"",""outputs"":[{""name"":"""",""type"":""bool""}],""payable"":false,""stateMutability"":""nonpayable"",""type"":""function""}]",Centra4,v0.4.16+commit.d7661dd9,0,200,,Default,,,0,,bzzr://367a13ac7c556459240ef5c4024a24e27016d79747b559724abad4f27f134e34
