contractAddress,ABI,ContractName,CompilerVersion,OptimizationUsed,Runs,ConstructorArguments,EVMVersion,Library,LicenseType,Proxy,Implementation,SwarmSource
0x015a06a433353f8db634df4eddf0c109882a15ab,"[{""constant"":true,""inputs"":[{""name"":"""",""type"":""uint256""}],""name"":""tiles"",""outputs"":[{""name"":""owner"",""type"":""address""},{""name"":""image"",""type"":""string""},{""name"":""url"",""type"":""string""},{""name"":""price"",""type"":""uint256""}],""payable"":false,""type"":""function""},{""constant"":false,""inputs"":[{""name"":""location"",""type"":""uint256""}],""name"":""buyTile"",""outputs"":[],""payable"":true,""type"":""function""},{""constant"":false,""inputs"":[{""name"":""location"",""type"":""uint256""},{""name"":""image"",""type"":""string""},{""name"":""url"",""type"":""string""},{""name"":""price"",""type"":""uint256""}],""name"":""setTile"",""outputs"":[],""payable"":false,""type"":""function""},{""constant"":false,""inputs"":[{""name"":""location"",""type"":""uint256""}],""name"":""getTile"",""outputs"":[{""name"":"""",""type"":""address""},{""name"":"""",""type"":""string""},{""name"":"""",""type"":""string""},{""name"":"""",""type"":""uint256""}],""payable"":false,""type"":""function""},{""inputs"":[],""type"":""constructor""},{""anonymous"":false,""inputs"":[{""indexed"":false,""name"":""location"",""type"":""uint256""}],""name"":""TileUpdated"",""type"":""event""}]",PixelMap,v0.4.2+commit.af6afb04,1,200,,Default,,,0,,
0x019d7e5ae8d2ba9a292244311dc7355058ab1b08,"[{""constant"":false,""inputs"":[{""name"":""a"",""type"":""address""}],""name"":""eliminate"",""outputs"":[],""payable"":false,""type"":""function""},{""constant"":false,""inputs"":[],""name"":""idle"",""outputs"":[],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[{""name"":"""",""type"":""address""}],""name"":""lastPing"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[],""name"":""countRemaining"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[],""name"":""organizer"",""outputs"":[{""name"":"""",""type"":""address""}],""payable"":false,""type"":""function""},{""constant"":false,""inputs"":[],""name"":""join"",""outputs"":[],""payable"":true,""type"":""function""},{""constant"":false,""inputs"":[],""name"":""claimReward"",""outputs"":[],""payable"":false,""type"":""function""},{""inputs"":[],""payable"":false,""type"":""constructor""},{""anonymous"":false,""inputs"":[{""indexed"":false,""name"":""a"",""type"":""address""}],""name"":""Eliminated"",""type"":""event""},{""anonymous"":false,""inputs"":[{""indexed"":false,""name"":""a"",""type"":""address""},{""indexed"":false,""name"":""time"",""type"":""uint256""}],""name"":""Pinged"",""type"":""event""}]",ProofOfIdleness,v0.4.9+commit.364da425,0,200,,Default,,,0,,bzzr://af77c92b72af6a4ca6ff0282316d7c68b02d62acdf0c1d419f1561f1f9b33d0a
0x01afc37f4f85babc47c0e2d0eababc7fb49793c8,"[{""constant"":false,""inputs"":[{""name"":""spender"",""type"":""address""},{""name"":""value"",""type"":""uint256""}],""name"":""approve"",""outputs"":[{""name"":""ok"",""type"":""bool""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[],""name"":""totalSupply"",""outputs"":[{""name"":""supply"",""type"":""uint256""}],""payable"":false,""type"":""function""},{""constant"":false,""inputs"":[{""name"":""from"",""type"":""address""},{""name"":""to"",""type"":""address""},{""name"":""value"",""type"":""uint256""}],""name"":""transferFrom"",""outputs"":[{""name"":""ok"",""type"":""bool""}],""payable"":false,""type"":""function""},{""constant"":false,""inputs"":[{""name"":""amount"",""type"":""uint256""}],""name"":""withdraw"",""outputs"":[],""payable"":false,""type"":""function""},{""constant"":false,""inputs"":[{""name"":""amount"",""type"":""uint256""}],""name"":""notifyDeposit"",""outputs"":[],""payable"":false,""type"":""function""},{""constant"":false,""inputs"":[],""name"":""createBroker"",""outputs"":[{""name"":"""",""type"":""address""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[{""name"":""who"",""type"":""address""}],""name"":""balanceOf"",""outputs"":[{""name"":""value"",""type"":""uint256""}],""payable"":false,""type"":""function""},{""constant"":false,""inputs"":[{""name"":""to"",""type"":""address""},{""name"":""value"",""type"":""uint256""}],""name"":""transfer"",""outputs"":[{""name"":""ok"",""type"":""bool""}],""payable"":false,""type"":""function""},{""constant"":false,""inputs"":[{""name"":""owner"",""type"":""address""}],""name"":""getBroker"",""outputs"":[{""name"":"""",""type"":""address""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[{""name"":""owner"",""type"":""address""},{""name"":""spender"",""type"":""address""}],""name"":""allowance"",""outputs"":[{""name"":""_allowance"",""type"":""uint256""}],""payable"":false,""type"":""function""},{""inputs"":[{""name"":""unwrapped"",""type"":""address""}],""type"":""constructor""},{""anonymous"":false,""inputs"":[{""indexed"":true,""name"":""broker"",""type"":""address""}],""name"":""LogBroker"",""type"":""event""},{""anonymous"":false,""inputs"":[{""indexed"":true,""name"":""from"",""type"":""address""},{""indexed"":true,""name"":""to"",""type"":""address""},{""indexed"":false,""name"":""value"",""type"":""uint256""}],""name"":""Transfer"",""type"":""event""},{""anonymous"":false,""inputs"":[{""indexed"":true,""name"":""owner"",""type"":""address""},{""indexed"":true,""name"":""spender"",""type"":""address""},{""indexed"":false,""name"":""value"",""type"":""uint256""}],""name"":""Approval"",""type"":""event""}]",TokenWrapper,v0.4.4+commit.4633f3de,1,200,000000000000000000000000a74476443119a942de498590fe1f2454d7d4ac0d,Default,,,0,,
0x022de2e28a61f9d197f8966dd0fc8f7ddf70f2dc,"[{""constant"":true,""inputs"":[],""name"":""MIN_TOTAL_AMOUNT_TO_RECEIVE_ETH"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[],""name"":""OWNER"",""outputs"":[{""name"":"""",""type"":""address""}],""payable"":false,""type"":""function""},{""constant"":false,""inputs"":[],""name"":""withdrawFunds"",""outputs"":[],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[{""name"":"""",""type"":""address""}],""name"":""balances"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""type"":""function""},{""constant"":false,""inputs"":[],""name"":""refund"",""outputs"":[],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[],""name"":""MIN_ACCEPTED_AMOUNT_FINNEY"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[],""name"":""WITHDRAWAL_END"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[],""name"":""total_received_amount"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[],""name"":""state"",""outputs"":[{""name"":"""",""type"":""string""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[],""name"":""MAX_TOTAL_AMOUNT_TO_RECEIVE_ETH"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[],""name"":""PRESALE_START"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[],""name"":""PRESALE_END"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[],""name"":""VERSION"",""outputs"":[{""name"":"""",""type"":""string""}],""payable"":false,""type"":""function""},{""inputs"":[],""payable"":false,""type"":""constructor""},{""payable"":true,""type"":""fallback""}]",Presale,v0.4.8+commit.60cc1668,1,200,,Default,,,0,,bzzr://0b74f227b8987f7ee35fec803c928455390caef46e1db1f93c3c2209c47fd8e3
0x04daec4e1fc6a4b4555b509b7c5c673ebad29f1f,"[{""constant"":true,""inputs"":[{""name"":""_ax"",""type"":""uint256""},{""name"":""_ay"",""type"":""uint256""},{""name"":""_az"",""type"":""uint256""},{""name"":""_bx"",""type"":""uint256""},{""name"":""_by"",""type"":""uint256""},{""name"":""_bz"",""type"":""uint256""}],""name"":""jadd"",""outputs"":[{""name"":"""",""type"":""uint256""},{""name"":"""",""type"":""uint256""},{""name"":"""",""type"":""uint256""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[{""name"":""_pub1"",""type"":""uint256""},{""name"":""_pub2"",""type"":""uint256""}],""name"":""hash_pubkey_to_pubkey"",""outputs"":[{""name"":"""",""type"":""uint256""},{""name"":"""",""type"":""uint256""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[{""name"":""_x"",""type"":""uint256""},{""name"":""_y_bit"",""type"":""uint256""}],""name"":""jrecover_y"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[{""name"":""_q0"",""type"":""uint256""},{""name"":""_q1"",""type"":""uint256""},{""name"":""_q2"",""type"":""uint256""}],""name"":""jdecompose"",""outputs"":[{""name"":"""",""type"":""uint256""},{""name"":"""",""type"":""uint256""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[{""name"":""_ax"",""type"":""uint256""},{""name"":""_ay"",""type"":""uint256""},{""name"":""_az"",""type"":""uint256""}],""name"":""jdouble"",""outputs"":[{""name"":"""",""type"":""uint256""},{""name"":"""",""type"":""uint256""},{""name"":"""",""type"":""uint256""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[{""name"":""_data"",""type"":""uint256""},{""name"":""_bit"",""type"":""uint256""}],""name"":""isbit"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[{""name"":""_b"",""type"":""uint256""},{""name"":""_e"",""type"":""uint256""},{""name"":""_m"",""type"":""uint256""}],""name"":""jexp"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[{""name"":""_bx"",""type"":""uint256""},{""name"":""_by"",""type"":""uint256""},{""name"":""_bz"",""type"":""uint256""},{""name"":""_n"",""type"":""uint256""}],""name"":""jmul"",""outputs"":[{""name"":"""",""type"":""uint256""},{""name"":"""",""type"":""uint256""},{""name"":"""",""type"":""uint256""}],""payable"":false,""type"":""function""},{""inputs"":[],""type"":""constructor""},{""payable"":false,""type"":""fallback""}]",ArithLib,v0.4.4+commit.4633f3de,1,200,,Default,,,0,,
0x06194c50a5a85bb1fee0e73877eefdef64466514,"[{""constant"":false,""inputs"":[],""name"":""withdrawFunds"",""outputs"":[],""payable"":false,""type"":""function""},{""constant"":false,""inputs"":[{""name"":""count"",""type"":""uint256""},{""name"":""owner"",""type"":""address""},{""name"":""data"",""type"":""bytes""}],""name"":""fipsRegister"",""outputs"":[],""payable"":false,""type"":""function""},{""constant"":false,""inputs"":[{""name"":""fips"",""type"":""bytes20""},{""name"":""new_owner"",""type"":""address""}],""name"":""fipsTransfer"",""outputs"":[],""payable"":false,""type"":""function""},{""constant"":false,""inputs"":[{""name"":""count"",""type"":""uint256""}],""name"":""fipsRegister"",""outputs"":[],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[{""name"":""fips"",""type"":""bytes20""},{""name"":""data"",""type"":""bytes""}],""name"":""fipsPublishData"",""outputs"":[],""payable"":false,""type"":""function""},{""constant"":false,""inputs"":[{""name"":""owner"",""type"":""address""}],""name"":""fipsRegister"",""outputs"":[],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[{""name"":""fips"",""type"":""bytes20""}],""name"":""fipsOwner"",""outputs"":[{""name"":""owner"",""type"":""address""}],""payable"":false,""type"":""function""},{""constant"":false,""inputs"":[],""name"":""fipsRegister"",""outputs"":[],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[{""name"":""fips"",""type"":""bytes20""}],""name"":""fipsIsRegistered"",""outputs"":[{""name"":""exists"",""type"":""bool""}],""payable"":false,""type"":""function""},{""constant"":false,""inputs"":[{""name"":""registrant"",""type"":""address""}],""name"":""registrantApprove"",""outputs"":[],""payable"":false,""type"":""function""},{""constant"":false,""inputs"":[{""name"":""owner"",""type"":""address""},{""name"":""data"",""type"":""bytes""}],""name"":""fipsRegister"",""outputs"":[],""payable"":false,""type"":""function""},{""constant"":false,""inputs"":[{""name"":""count"",""type"":""uint256""},{""name"":""data"",""type"":""bytes""}],""name"":""fipsRegister"",""outputs"":[],""payable"":false,""type"":""function""},{""constant"":false,""inputs"":[{""name"":""registrant"",""type"":""address""}],""name"":""registrantRemove"",""outputs"":[],""payable"":false,""type"":""function""},{""inputs"":[],""type"":""constructor""},{""payable"":false,""type"":""fallback""},{""anonymous"":false,""inputs"":[{""indexed"":true,""name"":""fips"",""type"":""bytes20""},{""indexed"":true,""name"":""publisher"",""type"":""address""},{""indexed"":false,""name"":""data"",""type"":""bytes""}],""name"":""FipsData"",""type"":""event""},{""anonymous"":false,""inputs"":[{""indexed"":true,""name"":""fips"",""type"":""bytes20""},{""indexed"":true,""name"":""owner"",""type"":""address""}],""name"":""FipsRegistration"",""type"":""event""},{""anonymous"":false,""inputs"":[{""indexed"":true,""name"":""fips"",""type"":""bytes20""},{""indexed"":true,""name"":""old_owner"",""type"":""address""},{""indexed"":true,""name"":""new_owner"",""type"":""address""}],""name"":""FipsTransfer"",""type"":""event""},{""anonymous"":false,""inputs"":[{""indexed"":true,""name"":""registrant"",""type"":""address""}],""name"":""RegistrantApproval"",""type"":""event""},{""anonymous"":false,""inputs"":[{""indexed"":true,""name"":""registrant"",""type"":""address""}],""name"":""RegistrantRemoval"",""type"":""event""}]",FipsNotary,v0.4.3-nightly.2016.9.30+commit.d5cfb17b,1,200,,Default,,,0,,
0x06bb6701983e126f31a4c20d6becb12dfd70709e,"[{""constant"":true,""inputs"":[],""name"":""name"",""outputs"":[{""name"":"""",""type"":""string""}],""payable"":false,""type"":""function""},{""constant"":false,""inputs"":[{""name"":""_spender"",""type"":""address""},{""name"":""_value"",""type"":""uint256""}],""name"":""approve"",""outputs"":[{""name"":""success"",""type"":""bool""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[],""name"":""totalSupply"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""type"":""function""},{""constant"":false,""inputs"":[{""name"":""_from"",""type"":""address""},{""name"":""_to"",""type"":""address""},{""name"":""_value"",""type"":""uint256""}],""name"":""transferFrom"",""outputs"":[{""name"":""success"",""type"":""bool""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[],""name"":""decimals"",""outputs"":[{""name"":"""",""type"":""uint8""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[],""name"":""version"",""outputs"":[{""name"":"""",""type"":""string""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[{""name"":""_owner"",""type"":""address""}],""name"":""balanceOf"",""outputs"":[{""name"":""balance"",""type"":""uint256""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[],""name"":""owner"",""outputs"":[{""name"":"""",""type"":""address""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[],""name"":""symbol"",""outputs"":[{""name"":"""",""type"":""string""}],""payable"":false,""type"":""function""},{""constant"":false,""inputs"":[{""name"":""_newOwner"",""type"":""address""}],""name"":""replaceOwner"",""outputs"":[{""name"":""success"",""type"":""bool""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[],""name"":""isLocked"",""outputs"":[{""name"":""success"",""type"":""bool""}],""payable"":false,""type"":""function""},{""constant"":false,""inputs"":[{""name"":""_to"",""type"":""address""},{""name"":""_value"",""type"":""uint256""}],""name"":""transfer"",""outputs"":[{""name"":""success"",""type"":""bool""}],""payable"":false,""type"":""function""},{""constant"":false,""inputs"":[{""name"":""_spender"",""type"":""address""},{""name"":""_value"",""type"":""uint256""},{""name"":""_extraData"",""type"":""bytes""}],""name"":""approveAndCall"",""outputs"":[{""name"":""success"",""type"":""bool""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[],""name"":""lockedUntilBlock"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[{""name"":""_owner"",""type"":""address""},{""name"":""_spender"",""type"":""address""}],""name"":""allowance"",""outputs"":[{""name"":""remaining"",""type"":""uint256""}],""payable"":false,""type"":""function""},{""inputs"":[],""type"":""constructor""},{""anonymous"":false,""inputs"":[{""indexed"":true,""name"":""_from"",""type"":""address""},{""indexed"":true,""name"":""_to"",""type"":""address""},{""indexed"":false,""name"":""_value"",""type"":""uint256""}],""name"":""Transfer"",""type"":""event""},{""anonymous"":false,""inputs"":[{""indexed"":true,""name"":""_owner"",""type"":""address""},{""indexed"":true,""name"":""_spender"",""type"":""address""},{""indexed"":false,""name"":""_value"",""type"":""uint256""}],""name"":""Approval"",""type"":""event""},{""anonymous"":false,""inputs"":[{""indexed"":false,""name"":""_value"",""type"":""uint256""}],""name"":""BlockLockSet"",""type"":""event""},{""anonymous"":false,""inputs"":[{""indexed"":false,""name"":""_newOwner"",""type"":""address""}],""name"":""NewOwner"",""type"":""event""}]",DogTestToken,v0.4.3-nightly.2016.10.15+commit.482807f6,1,200,,Default,,,0,,
0x0807a2d6a675e7196a3d9b1910700cae9795b72a,"[{""constant"":false,""inputs"":[],""name"":""checkGoalReached"",""outputs"":[],""payable"":false,""type"":""function""},{""constant"":false,""inputs"":[{""name"":""receiver"",""type"":""address""}],""name"":""invest"",""outputs"":[],""payable"":true,""type"":""function""},{""constant"":true,""inputs"":[],""name"":""beneficiary"",""outputs"":[{""name"":"""",""type"":""address""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[],""name"":""tokensSold"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[],""name"":""tokenReward"",""outputs"":[{""name"":"""",""type"":""address""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[{""name"":"""",""type"":""address""}],""name"":""balanceOf"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[],""name"":""fundingGoal"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[],""name"":""amountRaised"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[],""name"":""getPrice"",""outputs"":[{""name"":""price"",""type"":""uint256""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[{""name"":"""",""type"":""uint256""}],""name"":""deadlines"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[{""name"":"""",""type"":""uint256""}],""name"":""prices"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[],""name"":""start"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[],""name"":""maxGoal"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""type"":""function""},{""constant"":false,""inputs"":[],""name"":""safeWithdrawal"",""outputs"":[],""payable"":false,""type"":""function""},{""inputs"":[],""payable"":false,""type"":""constructor""},{""payable"":true,""type"":""fallback""},{""anonymous"":false,""inputs"":[{""indexed"":false,""name"":""beneficiary"",""type"":""address""},{""indexed"":false,""name"":""amountRaised"",""type"":""uint256""}],""name"":""GoalReached"",""type"":""event""},{""anonymous"":false,""inputs"":[{""indexed"":false,""name"":""backer"",""type"":""address""},{""indexed"":false,""name"":""amount"",""type"":""uint256""},{""indexed"":false,""name"":""isContribution"",""type"":""bool""},{""indexed"":false,""name"":""amountRaised"",""type"":""uint256""}],""name"":""FundTransfer"",""type"":""event""}]",Crowdsale,v0.4.8+commit.60cc1668,1,200,,Default,,,0,,bzzr://e457ad1a610b0232aee4bf05b05663edb4582d30bba61747833dbb3b8b342f28
0x08711d3b02c8758f2fb3ab4e80228418a7f8e39c,"[{""constant"":true,""inputs"":[],""name"":""name"",""outputs"":[{""name"":"""",""type"":""string""}],""payable"":false,""type"":""function""},{""constant"":false,""inputs"":[{""name"":""_spender"",""type"":""address""},{""name"":""_value"",""type"":""uint256""}],""name"":""approve"",""outputs"":[{""name"":""success"",""type"":""bool""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[],""name"":""totalSupply"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""type"":""function""},{""constant"":false,""inputs"":[{""name"":""_from"",""type"":""address""},{""name"":""_to"",""type"":""address""},{""name"":""_value"",""type"":""uint256""}],""name"":""transferFrom"",""outputs"":[{""name"":""success"",""type"":""bool""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[],""name"":""decimals"",""outputs"":[{""name"":"""",""type"":""uint8""}],""payable"":false,""type"":""function""},{""constant"":false,""inputs"":[],""name"":""burn"",""outputs"":[],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[],""name"":""standard"",""outputs"":[{""name"":"""",""type"":""string""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[{""name"":"""",""type"":""address""}],""name"":""balanceOf"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[],""name"":""startTime"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[],""name"":""owner"",""outputs"":[{""name"":"""",""type"":""address""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[],""name"":""symbol"",""outputs"":[{""name"":"""",""type"":""string""}],""payable"":false,""type"":""function""},{""constant"":false,""inputs"":[{""name"":""_to"",""type"":""address""},{""name"":""_value"",""type"":""uint256""}],""name"":""transfer"",""outputs"":[{""name"":""success"",""type"":""bool""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[{""name"":"""",""type"":""address""},{""name"":"""",""type"":""address""}],""name"":""allowance"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""type"":""function""},{""inputs"":[],""payable"":false,""type"":""constructor""},{""anonymous"":false,""inputs"":[{""indexed"":true,""name"":""from"",""type"":""address""},{""indexed"":true,""name"":""to"",""type"":""address""},{""indexed"":false,""name"":""value"",""type"":""uint256""}],""name"":""Transfer"",""type"":""event""},{""anonymous"":false,""inputs"":[{""indexed"":true,""name"":""owner"",""type"":""address""},{""indexed"":true,""name"":""spender"",""type"":""address""},{""indexed"":false,""name"":""value"",""type"":""uint256""}],""name"":""Approval"",""type"":""event""},{""anonymous"":false,""inputs"":[{""indexed"":false,""name"":""amount"",""type"":""uint256""}],""name"":""Burned"",""type"":""event""}]",EdgelessToken,v0.4.8+commit.60cc1668,1,200,,Default,,,0,,bzzr://6d46e98f7b3ac249e8109d4a1bac89cf1f7285b29a7d3d8f556f4247a12ab9c2
0x0b0e47119bf5495dfcd9264916a9fe3481cd24c7,"[{""constant"":true,""inputs"":[],""name"":""bhCheck"",""outputs"":[{""name"":"""",""type"":""bytes32""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[],""name"":""bnCheck"",""outputs"":[{""name"":"""",""type"":""uint256""}],""payable"":false,""type"":""function""},{""constant"":true,""inputs"":[],""name"":""isFork"",""outputs"":[{""name"":"""",""type"":""bool""}],""payable"":false,""type"":""function""},{""inputs"":[{""name"":""_blockNumber"",""type"":""uint256""},{""name"":""_blockHash"",""type"":""bytes32""}],""type"":""constructor""}]",ForkChecker,v0.4.2-nightly.2016.9.9+commit.51a98ab,1,200,0000000000000000000000000000000000000000000000000000000000221a0aac3eacc6609b3dc52c15a52b1df8800946cc47edb9ad92d585ba83ce03577069,Default,,,0,,
