Stack,Name,Gas,InitialStack,ResultingStack,MemStorage,Notes,Category
0x0,STOP,0,,,,halt execution,Stop Operation
0x1,ADD,3,"a, b",a + b,,(u)int256 addition modulo 2**256,Arithmetic Operation
0x2,MUL,5,"a, b",a * b,,(u)int256 multiplication modulo 2**256,Arithmetic Operation
0x3,SUB,3,"a, b",a - b,,(u)int256 addition modulo 2**256,Arithmetic Operation
0x4,DIV,5,"a, b",a // b,,uint256 division,Arithmetic Operation
0x5,SDIV,5,"a, b",a // b,,int256 division,Arithmetic Operation
0x6,MOD,5,"a, b",a % b,,uint256 modulus,Arithmetic Operation
0x7,SMOD,5,"a, b",a % b,,int256 modulus,Arithmetic Operation
0x8,ADDMOD,8,"a, b, N",(a + b) % N,,(u)int256 addition modulo N,Arithmetic Operation
0x9,MULMOD,8,"a, b, N",(a * b) % N,,(u)int256 multiplication modulo N,Arithmetic Operation
0xa,EXP,A1(opens in a new tab),"a, b",a ** b,,uint256 exponentiation modulo 2**256,Arithmetic Operation
0xb,SIGNEXTEND,5,"b, x","SIGNEXTEND(x, b)",,sign extend(opens in a new tab) x from (b+1) bytes to 32 bytes,Arithmetic Operation
0x0c-0f,invalid,,,,,,
0x10,LT,3,"a, b",a < b,,uint256 less-than,Comparison Operation
0x11,GT,3,"a, b",a > b,,uint256 greater-than,Comparison Operation
0x12,SLT,3,"a, b",a < b,,int256 less-than,Comparison Operation
0x13,SGT,3,"a, b",a > b,,int256 greater-than,Comparison Operation
0x14,EQ,3,"a, b",a == b,,(u)int256 equality,Comparison Operation
0x15,ISZERO,3,a,a == 0,,(u)int256 iszero,Comparison Operation
0x16,AND,3,"a, b",a && b,,bitwise AND,Bitwise Logic Operation
0x17,OR,3,"a, b",a \|\| b,,bitwise OR,Bitwise Logic Operation
0x18,XOR,3,"a, b",a ^ b,,bitwise XOR,Bitwise Logic Operation
0x19,NOT,3,a,~a,,bitwise NOT,Bitwise Logic Operation
0x1a,BYTE,3,"i, x",(x >> (248 - i * 8)) && 0xFF,,"ith byte of (u)int256 x, from the left",Bitwise Logic Operation
0x1b,SHL,3,"shift, val",val << shift,,shift left,Bitwise Logic Operation
0x1c,SHR,3,"shift, val",val >> shift,,logical shift right,Bitwise Logic Operation
0x1d,SAR,3,"shift, val",val >> shift,,arithmetic shift right,Bitwise Logic Operation
0x1e-1f,invalid,,,,,,
0x20,KECCAK256,A2(opens in a new tab),"ost, len",keccak256(mem[ost:ost+len-1]),,keccak256,KECCAK256 Operation
0x21-2f,invalid,,,,,,
0x30,ADDRESS,2,.,address(this),,address of executing contract,Environmental Information Operation
0x31,BALANCE,A5(opens in a new tab),addr,addr.balance,,"balance, in wei",Environmental Information Operation
0x32,ORIGIN,2,.,tx.origin,,address that originated the tx,Environmental Information Operation
0x33,CALLER,2,.,msg.sender,,address of msg sender,Environmental Information Operation
0x34,CALLVALUE,2,.,msg.value,,"msg value, in wei",Environmental Information Operation
0x35,CALLDATALOAD,3,idx,msg.data[idx:idx+32],,read word from msg data at index idx,Environmental Information Operation
0x36,CALLDATASIZE,2,.,len(msg.data),,"length of msg data, in bytes",Environmental Information Operation
0x37,CALLDATACOPY,A3(opens in a new tab),"dstOst, ost, len",.,mem[dstOst:dstOst+len-1] := msg.data[ost:ost+len-1],copy msg data,Environmental Information Operation
0x38,CODESIZE,2,.,len(this.code),,"length of executing contract's code, in bytes",Environmental Information Operation
0x39,CODECOPY,A3(opens in a new tab),"dstOst, ost, len",.,,mem[dstOst:dstOst+len-1] := this.code[ost:ost+len-1],Environmental Information Operation
0x3a,GASPRICE,2,.,tx.gasprice,,"gas price of tx, in wei per unit gas **(opens in a new tab)",Environmental Information Operation
